1.00 0.03 0.10 0.06 0.02 0.04 0.00 0.05 -0.02 -0.27 0.18  | 4.27 0.22 -1.90 -0.08 0.49 0.74 16.71 0.55 -0.97 0.32 -17.21 
0.03 1.00 0.06 0.00 0.00 0.15 -0.06 0.06 -0.06 -0.06 -0.04  | 0.22 1.06 -0.19 0.04 0.03 -0.10 1.23 -0.02 -0.01 0.05 -1.24 
0.10 0.06 1.00 0.09 -0.24 0.00 -0.04 -0.02 -0.01 -0.15 -0.13  | -1.90 -0.19 2.15 -0.11 -0.04 -0.41 -9.52 -0.28 0.53 0.10 9.85 
0.06 0.00 0.09 1.00 0.12 0.22 0.07 0.12 -0.04 -0.05 0.09  | -0.08 0.04 -0.11 1.11 -0.15 -0.27 -0.39 -0.13 0.06 0.03 0.27 
0.02 0.00 -0.24 0.12 1.00 0.07 -0.04 0.05 0.03 0.06 0.03  | 0.49 0.03 -0.04 -0.15 1.19 0.10 2.96 0.07 -0.20 -0.04 -2.98 
0.04 0.15 0.00 0.22 0.07 1.00 -0.17 0.03 0.00 -0.02 -0.11  | 0.74 -0.10 -0.41 -0.27 0.10 1.30 4.23 0.16 -0.24 0.00 -4.15 
0.00 -0.06 -0.04 0.07 -0.04 -0.17 1.00 -0.04 -0.01 0.06 0.97  | 16.71 1.23 -9.52 -0.39 2.96 4.23 89.35 3.07 -5.05 0.11 -90.75 
0.05 0.06 -0.02 0.12 0.05 0.03 -0.04 1.00 -0.07 -0.09 0.01  | 0.55 -0.02 -0.28 -0.13 0.07 0.16 3.07 1.14 -0.12 0.09 -3.10 
-0.02 -0.06 -0.01 -0.04 0.03 0.00 -0.01 -0.07 1.00 0.10 -0.07  | -0.97 -0.01 0.53 0.06 -0.20 -0.24 -5.05 -0.12 1.31 -0.11 5.21 
-0.27 -0.06 -0.15 -0.05 0.06 -0.02 0.06 -0.09 0.10 1.00 0.02  | 0.32 0.05 0.10 0.03 -0.04 0.00 0.11 0.09 -0.11 1.13 -0.18 
0.18 -0.04 -0.13 0.09 0.03 -0.11 0.97 0.01 -0.07 0.02 1.00  | -17.21 -1.24 9.85 0.27 -2.98 -4.15 -90.75 -3.10 5.21 -0.18 93.27 
